Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;RunNumber;Length;ComputationTime(s)
ALPHA;0,0010;1;11274,00;4,985
ALPHA;0,0010;2;11514,00;4,992

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

RHO;0,8500;9;11319,00;2,818
RHO;0,8500;10;11597,00;2,572
RHO;0,9000;1;11319,00;2,566
RHO;0,9000;2;11894,00;2,541
RHO;0,9000;3;11861,00;2,470
RHO;0,9000;4;11894,00;2,651
RHO;0,9000;5;11894,00;2,560
RHO;0,9000;6;11481,00;2,584
RHO;0,9000;7;11485,00;2,460
RHO;0,9000;8;11319,00;2,667
RHO;0,9000;9;11622,00;2,543
RHO;0,9000;10;11485,00;2,580
TAU_0;0,0000;1;11526,00;2,608
TAU_0;0,0000;2;11622,00;2,559
TAU_0;0,0000;3;11526,00;2,513
TAU_0;0,0000;4;11894,00;2,736
TAU_0;0,0000;5;11894,00;2,720
TAU_0;0,0000;6;11604,00;2,731
TAU_0;0,0000;7;11380,00;2,460
TAU_0;0,0000;8;11420,00;2,624
TAU_0;0,0000;9;11826,00;2,582
TAU_0;0,0000;10;11894,00;2,650
TAU_0;0,0001;1;11526,00;2,473
TAU_0;0,0001;2;11894,00;2,707
TAU_0;0,0001;3;11597,00;2,553
TAU_0;0,0001;4;11514,00;2,792
TAU_0;0,0001;5;11485,00;2,562
TAU_0;0,0001;6;11319,00;2,783
TAU_0;0,0001;7;11861,00;2,653
TAU_0;0,0001;8;11894,00;2,569
TAU_0;0,0001;9;11894,00;2,675
TAU_0;0,0001;10;11627,00;2,468
TAU_0;0,0010;1;11514,00;2,684
TAU_0;0,0010;2;11481,00;2,507
TAU_0;0,0010;3;11319,00;2,692
TAU_0;0,0010;4;11873,00;2,480
TAU_0;0,0010;5;11386,00;2,667
TAU_0;0,0010;6;11894,00;2,610
TAU_0;0,0010;7;11894,00;2,637
TAU_0;0,0010;8;11627,00;2,661
TAU_0;0,0010;9;11622,00;2,744
TAU_0;0,0010;10;11397,00;2,495
TAU_0;0,0100;1;11467,00;2,640
TAU_0;0,0100;2;11514,00;2,507
TAU_0;0,0100;3;11894,00;2,698
TAU_0;0,0100;4;10819,00;3,217
TAU_0;0,0100;5;11411,00;2,873
TAU_0;0,0100;6;11514,00;2,644
TAU_0;0,0100;7;11485,00;2,596
TAU_0;0,0100;8;11481,00;2,674
TAU_0;0,0100;9;11894,00;2,566
TAU_0;0,0100;10;11481,00;2,650
TAU_0;0,1000;1;11627,00;2,547
TAU_0;0,1000;2;11894,00;2,745
TAU_0;0,1000;3;11319,00;2,564
TAU_0;0,1000;4;11894,00;2,610
TAU_0;0,1000;5;11526,00;2,551
TAU_0;0,1000;6;11319,00;2,772
TAU_0;0,1000;7;11467,00;2,510
TAU_0;0,1000;8;11894,00;2,628
TAU_0;0,1000;9;11526,00;2,692
TAU_0;0,1000;10;11481,00;2,727
TAU_0;0,5000;1;11639,00;2,939
TAU_0;0,5000;2;11567,00;2,537
TAU_0;0,5000;3;11526,00;2,646
TAU_0;0,5000;4;11386,00;2,481
TAU_0;0,5000;5;11673,00;2,733
TAU_0;0,5000;6;11894,00;2,543
TAU_0;0,5000;7;11905,00;2,646
TAU_0;0,5000;8;11426,00;2,545
TAU_0;0,5000;9;11894,00;2,671
TAU_0;0,5000;10;11319,00;2,567
TAU_0;1,0000;1;11627,00;2,640
TAU_0;1,0000;2;11574,00;2,604
TAU_0;1,0000;3;11526,00;2,678
TAU_0;1,0000;4;11411,00;2,488
TAU_0;1,0000;5;11481,00;2,633
TAU_0;1,0000;6;11485,00;2,580
TAU_0;1,0000;7;11597,00;2,723
TAU_0;1,0000;8;11862,00;2,785
TAU_0;1,0000;9;11894,00;3,085
TAU_0;1,0000;10;11894,00;2,691

=== New Experiment ===
Started: 2025-03-26 18:31:09
Initial parameters:
ALPHA=0,0100;BETA=4,0000;RHO=0,5000;Q=50,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1000

ALPHA;0,0010;1;11319,00;3,476
ALPHA;0,0010;2;11485,00;2,921
ALPHA;0,0010;3;11894,00;2,606
ALPHA;0,0010;4;11894,00;2,584
ALPHA;0,0010;5;11894,00;2,407
ALPHA;0,0010;6;11526,00;2,461
ALPHA;0,0010;7;11481,00;2,786
ALPHA;0,0010;8;11467,00;2,590
ALPHA;0,0010;9;11891,00;2,395
ALPHA;0,0010;10;11904,00;2,858
ALPHA;0,0100;1;11627,00;2,611
ALPHA;0,0100;2;11526,00;2,436
ALPHA;0,0100;3;11319,00;2,528
ALPHA;0,0100;4;11485,00;2,661
ALPHA;0,0100;5;11894,00;2,733
ALPHA;0,0100;6;11861,00;3,081
ALPHA;0,0100;7;11514,00;3,160
ALPHA;0,0100;8;11894,00;2,866
ALPHA;0,0100;9;11526,00;2,689
ALPHA;0,0100;10;11319,00;2,499
ALPHA;0,1000;1;11514,00;2,745
ALPHA;0,1000;2;11861,00;2,602
ALPHA;0,1000;3;11526,00;2,751
ALPHA;0,1000;4;11894,00;2,629
ALPHA;0,1000;5;11894,00;2,688
ALPHA;0,1000;6;11526,00;2,532
ALPHA;0,1000;7;11597,00;2,634
ALPHA;0,1000;8;11894,00;2,531
ALPHA;0,1000;9;11597,00;2,786
ALPHA;0,1000;10;11890,00;2,723
ALPHA;0,5000;1;11894,00;3,103
ALPHA;0,5000;2;11627,00;2,827
ALPHA;0,5000;3;11319,00;2,454
ALPHA;0,5000;4;11485,00;2,544
ALPHA;0,5000;5;11894,00;2,845
ALPHA;0,5000;6;11627,00;2,700
ALPHA;0,5000;7;11526,00;2,460
ALPHA;0,5000;8;11894,00;2,564
ALPHA;0,5000;9;11622,00;2,526
ALPHA;0,5000;10;11526,00;2,613
ALPHA;1,0000;1;11627,00;2,697
ALPHA;1,0000;2;11485,00;3,067
ALPHA;1,0000;3;11627,00;2,628
ALPHA;1,0000;4;11870,00;2,810
ALPHA;1,0000;5;11582,00;2,687
ALPHA;1,0000;6;11894,00;2,947
ALPHA;1,0000;7;11894,00;3,052
ALPHA;1,0000;8;11514,00;3,021
ALPHA;1,0000;9;11481,00;2,585
ALPHA;1,0000;10;11894,00;2,536
ALPHA;1,5000;1;11319,00;2,839
ALPHA;1,5000;2;11894,00;2,668
ALPHA;1,5000;3;11894,00;2,750
ALPHA;1,5000;4;11319,00;2,827
ALPHA;1,5000;5;11481,00;2,695
ALPHA;1,5000;6;11485,00;2,616
ALPHA;1,5000;7;11627,00;2,780
ALPHA;1,5000;8;11526,00;2,700
ALPHA;1,5000;9;11514,00;2,488
ALPHA;1,5000;10;11796,00;2,585
BETA;1,0000;1;11076,00;2,562
BETA;1,0000;2;11481,00;2,654
BETA;1,0000;3;11662,00;2,709
BETA;1,0000;4;11485,00;2,909
BETA;1,0000;5;11526,00;2,694
BETA;1,0000;6;11526,00;2,665
BETA;1,0000;7;11485,00;2,638
BETA;1,0000;8;11243,00;2,907
BETA;1,0000;9;11873,00;2,798
BETA;1,0000;10;11319,00;2,803
